traj_id,t,x,A,B
1,0.0,25.0,25.0,64.0
1,0.02004008016032064,32.39086521906727,25.0,64.0
1,0.04008016032064128,39.091463466466564,25.0,64.0
1,0.06012024048096192,45.014189683609324,25.0,64.0
1,0.08016032064128256,50.085780299327226,25.0,64.0
1,0.1002004008016032,54.24810213118409,25.0,64.0
1,0.12024048096192384,57.45868508794337,25.0,64.0
1,0.1402805611222445,59.690996715136045,25.0,64.0
1,0.16032064128256512,60.934460710928505,25.0,64.0
1,0.18036072144288576,61.19422548989044,25.0,64.0
1,0.2004008016032064,60.49069262939034,25.0,64.0
1,0.22044088176352705,58.858818543264434,25.0,64.0
1,0.24048096192384769,56.34720594137686,25.0,64.0
1,0.2605210420841683,53.017004508822225,25.0,64.0
1,0.280561122244489,48.94064273828714,25.0,64.0
1,0.3006012024048096,44.200414943732305,25.0,64.0
1,0.32064128256513025,38.88694915040442,25.0,64.0
1,0.3406813627254509,33.09758277981408,25.0,64.0
1,0.3607214428857715,26.934673820610303,25.0,64.0
1,0.3807615230460922,20.503875496393405,25.0,64.0
1,0.4008016032064128,13.91240231567602,25.0,64.0
1,0.42084168336673344,7.267314830483208,25.0,64.0
1,0.4408817635270541,0.6738494579801543,25.0,64.0
1,0.4609218436873747,-5.766181640491607,25.0,64.0
1,0.48096192384769537,-11.9558973455881,25.0,64.0
1,0.501002004008016,-17.80473979223292,25.0,64.0
1,0.5210420841683366,-23.229733088543956,25.0,64.0
1,0.5410821643286573,-28.15659217979078,25.0,64.0
1,0.561122244488978,-32.52066824579215,25.0,64.0
1,0.5811623246492986,-36.267719914640786,25.0,64.0
1,0.6012024048096192,-39.35450256571252,25.0,64.0
1,0.6212424849699398,-41.749171031447524,25.0,64.0
1,0.6412825651302605,-43.43149404174966,25.0,64.0
1,0.6613226452905812,-44.39288173964338,25.0,64.0
1,0.6813627254509018,-44.63623048661807,25.0,64.0
1,0.7014028056112224,-44.175591928055866,25.0,64.0
1,0.721442885771543,-43.03567586367729,25.0,64.0
1,0.7414829659318637,-41.251198829207084,25.0,64.0
1,0.7615230460921844,-38.86609241184256,25.0,64.0
1,0.781563126252505,-35.93258716659706,25.0,64.0
1,0.8016032064128256,-32.51018955111277,25.0,64.0
1,0.8216432865731462,-28.6645705361561,25.0,64.0
1,0.8416833667334669,-24.466385466075305,25.0,64.0
1,0.8617234468937875,-19.990045331694386,25.0,64.0
1,0.8817635270541082,-15.312459876422928,25.0,64.0
1,0.9018036072144289,-10.511772888941799,25.0,64.0
1,0.9218436873747494,-5.66610965183571,25.0,64.0
1,0.9418837675350701,-0.852355828859752,25.0,64.0
1,0.9619238476953907,3.8550138975825035,25.0,64.0
1,0.9819639278557114,8.38504036045658,25.0,64.0
1,1.002004008016032,12.671302004965707,25.0,64.0
1,1.0220440881763526,16.652840616786243,25.0,64.0
1,1.0420841683366733,20.274978603470398,25.0,64.0
1,1.062124248496994,23.49001774686819,25.0,64.0
1,1.0821643286573146,26.25781144847852,25.0,64.0
